src|match|phone match|stress match|syl match|freq|row|col|ref|pred
OR|True|True|True|True|18622|9|19|1 oo|1 oo
ERROR|True|True|True|True|177|9|21|1 e - 0 r @|1 e - 0 r @
MADE|True|True|True|True|7393|9|22|1 m ei d|1 m ei d
IN|True|True|True|True|96089|9|23|1 i n|1 i n
THE|True|True|True|True|345973|9|24|0 dh @|0 dh @
TYPING|True|True|True|True|2|9|25|1 t ai p - 0 i ng|1 t ai p - 0 i ng
OF|True|True|True|True|172137|9|26|1 o v|1 o v
PRINTED|True|True|True|True|112|9|27|1 p r i n t - 0 i d|1 p r i n t - 0 i d
OR|True|True|True|True|18622|9|28|1 oo|1 oo
ELECTRONIC|True|True|True|True|4|9|29|0 i - 2 l e k - 1 t r o n - 0 i k|0 i - 2 l e k - 1 t r o n - 0 i k
MATERIAL|True|True|True|True|371|9|30|0 m @ - 1 t i@ - 0 r iy @ lw|0 m @ - 1 t i@ - 0 r iy @ lw
STING|True|True|True|True|58|10|1|1 s t i ng|1 s t i ng
SUPPOSED|True|True|True|True|465|10|2|0 s @ - 1 p ou z d|0 s @ - 1 p ou z d
THE|True|True|True|True|345973|10|3|0 dh @|0 dh @
LATTER|True|True|True|True|592|10|4|1 l a - 0 t @|1 l a - 0 t @
WAS|True|True|True|True|69893|10|5|1 w o z|1 w o z
DUE|True|True|True|True|515|10|6|1 d y uu|1 d y uu
TO|True|True|True|True|154614|10|7|0 t uu|0 t uu
A|True|True|True|True|124956|10|8|1 ei|1 ei
MISPRINT|True|True|True|True|1|10|9|1 m i s - 0 p r i n t|1 m i s - 0 p r i n t
IN|True|True|True|True|96089|10|10|1 i n|1 i n
THE|True|True|True|True|345973|10|11|0 dh @|0 dh @
LYRICS|True|True|True|True|8|10|12|1 l i - 0 r i k s|1 l i - 0 r i k s
CASH|True|True|True|True|86|10|13|1 k a sh|1 k a sh
WAS|True|True|True|True|69893|10|14|1 w o z|1 w o z
USING|True|True|True|True|226|10|15|1 y uu z - 0 i ng|1 y uu z - 0 i ng
THE|True|True|True|True|345973|11|1|0 dh @|0 dh @
IS|True|True|True|True|43616|11|3|1 i z|1 i z
EXPECTED|True|True|True|True|699|11|4|0 i k - 1 s p e k t - 0 i d|0 i k - 1 s p e k t - 0 i d
TO|True|True|True|True|154614|11|5|0 t uu|0 t uu
HELP|True|True|True|True|1840|11|6|1 h e lw p|1 h e lw p
THE|True|True|True|True|345973|11|7|0 dh ii|0 dh ii
INTELLIGENCE|True|True|True|True|312|11|8|0 i n - 1 t e - 0 l i - 0 jh @ n s|0 i n - 1 t e - 0 l i - 0 jh @ n s
AGENCIES|True|True|True|True|32|11|9|1 ei - 0 jh @ n s - 0 iy z|1 ei - 0 jh @ n s - 0 iy z
WORK|True|True|True|True|3268|11|10|1 w @@r k|1 w @@r k
TOGETHER|True|True|True|True|2115|11|11|0 t @ - 1 g e - 0 dh @|0 t @ - 1 g e - 0 dh @
THE|True|True|True|True|345973|12|1|0 dh @|0 dh @
MEN'S|True|True|True|True|129|12|2|1 m e n z|1 m e n z
AND|True|True|True|True|195893|12|3|1 a n d|1 a n d
WOMEN'S|True|True|True|True|61|12|4|1 w i - 0 m i n z|1 w i - 0 m i n z
RACES|True|True|True|True|93|12|5|1 r ei s - 0 i z|1 r ei s - 0 i z
TOOK|True|True|True|True|3720|12|6|1 t u k|1 t u k
PLACE|True|True|True|True|4127|12|7|1 p l ei s|1 p l ei s
AT|True|True|True|True|32269|12|8|1 a t|1 a t
THE|True|True|True|True|345973|12|9|0 dh @|0 dh @
BASIN|True|True|True|True|115|12|10|1 b ei - 0 s n!|1 b ei - 0 s n!
ALONG|True|True|True|True|1993|12|11|0 @ - 1 l o ng|0 @ - 1 l o ng
WITH|True|True|True|True|46126|12|12|1 w i dh|1 w i dh
A|True|True|True|True|124956|12|13|1 ei|1 ei
OF|True|True|True|True|172137|12|15|1 o v|1 o v
THE|True|True|True|True|345973|12|16|0 dh @|0 dh @
RACE|True|True|True|True|527|12|18|1 r ei s|1 r ei s
WHO|True|True|True|True|14528|14|2|1 h uu|1 h uu
HAD|True|True|True|True|42625|14|3|1 h a d|1 h a d
VAULTED|True|True|True|True|25|14|4|1 v oo lw t - 0 i d|1 v oo lw t - 0 i d
ON|True|True|True|True|32846|14|5|1 o n|1 o n
THE|True|True|True|True|345973|14|6|0 dh ii|0 dh ii
INCORRECTLY|True|True|True|True|5|14|7|2 i n - 0 k @ - 1 r e k t - 0 l iy|2 i n - 0 k @ - 1 r e k t - 0 l iy
SET|True|True|True|True|2513|14|8|1 s e t|1 s e t
APPARATUS|True|True|True|True|90|14|9|2 a - 0 p @ - 1 r ei - 0 t @ s|2 a - 0 p @ - 1 r ei - 0 t @ s
WERE|True|True|True|True|22145|14|10|1 w @@r|1 w @@r
INVITED|True|True|True|True|202|14|11|0 i n - 1 v ai t - 0 i d|0 i n - 1 v ai t - 0 i d
TO|True|True|True|True|154614|14|12|0 t uu|0 t uu
THEIR|True|True|True|True|17242|14|14|1 dh eir|1 dh eir
VAULTS|True|True|True|True|18|14|15|1 v oo lw t s|1 v oo lw t s
AT|True|True|True|True|32269|14|16|1 a t|1 a t
THE|True|True|True|True|345973|14|17|0 dh ii|0 dh ii
END|True|True|True|True|2388|14|18|1 e n d|1 e n d
OF|True|True|True|True|172137|14|19|1 o v|1 o v
THE|True|True|True|True|345973|14|20|0 dh @|0 dh @
SESSION|True|True|True|True|60|14|21|1 s e - 0 sh n!|1 s e - 0 sh n!
RAY|True|True|True|True|141|14|22|1 r ei|1 r ei
ACCEPTED|True|True|True|True|327|14|23|0 @ k - 1 s e p t - 0 i d|0 @ k - 1 s e p t - 0 i d
THIS|True|True|True|True|25557|14|24|1 dh i s|1 dh i s
OFFER|True|True|True|True|429|14|25|1 o - 0 f @|1 o - 0 f @
AND|True|True|True|True|195893|14|26|1 a n d|1 a n d
ENDED|True|True|True|True|311|14|27|1 e n d - 0 i d|1 e n d - 0 i d
UP|True|True|True|True|13383|14|28|1 uh p|1 uh p
IN|True|True|True|True|96089|14|29|1 i n|1 i n
THIRTEENTH|True|True|True|True|37|14|30|0 th @@r - 1 t ii n th|0 th @@r - 1 t ii n th
PLACE|True|True|True|True|4127|14|31|1 p l ei s|1 p l ei s
WITH|True|True|True|True|46126|14|32|1 w i dh|1 w i dh
HER|True|True|True|True|40755|14|33|1 h @@r|1 h @@r
REVISED|True|True|True|True|19|14|34|0 r i - 1 v ai z d|0 r i - 1 v ai z d
SCORE|True|True|True|True|165|14|35|1 s k oo|1 s k oo
TIME|True|True|True|True|10084|15|1|1 t ai m|1 t ai m
CONSUMING|True|True|True|True|18|15|2|0 k @ n - 1 s y uu m - 0 i ng|0 k @ n - 1 s y uu m - 0 i ng
WORK|True|True|True|True|3268|15|3|1 w @@r k|1 w @@r k
HAD|True|True|True|True|42625|15|5|1 h a d|1 h a d
TO|True|True|True|True|154614|15|6|0 t uu|0 t uu
BE|True|True|True|True|33786|15|7|1 b ii|1 b ii
EVEN|True|True|True|True|5425|15|9|1 ii - 0 v n!|1 ii - 0 v n!
THOUGH|True|True|True|True|4140|15|10|1 dh ou|1 dh ou
NO|True|True|True|True|17774|15|11|1 n ou|1 n ou
NEED|True|True|True|True|1227|15|12|1 n ii d|1 n ii d
FOR|True|True|True|True|44394|15|13|0 f @|0 f @
A|True|True|True|True|124956|15|14|1 ei|1 ei
EXISTED|True|True|True|True|149|15|16|0 i g - 1 z i s t - 0 i d|0 i g - 1 z i s t - 0 i d
IN|True|True|True|True|96089|16|1|1 i n|1 i n
TWENTY|True|True|True|True|2414|16|2|1 t w e n - 0 t iy|1 t w e n - 0 t iy
NINETEEN|True|True|True|True|951|16|3|0 n ai n - 1 t ii n|0 n ai n - 1 t ii n
WAS|True|True|True|True|69893|16|6|1 w o z|1 w o z
FUNDAMENTALLY|True|True|True|True|11|16|7|2 f uh n - 0 d @ - 1 m e n t - 0 l! - 0 iy|2 f uh n - 0 d @ - 1 m e n t - 0 l! - 0 iy
CHANGED|True|True|True|True|701|16|8|1 ch ei n jh d|1 ch ei n jh d
REVEALING|True|True|True|True|37|16|9|0 r i - 1 v ii l - 0 i ng|0 r i - 1 v ii l - 0 i ng
SHE|True|True|True|True|36842|16|10|1 sh ii|1 sh ii
HAD|True|True|True|True|42625|16|11|1 h a d|1 h a d
BEEN|True|True|True|True|14357|16|12|1 b ii n|1 b ii n
A|True|True|True|True|124956|16|13|1 ei|1 ei
ALL|True|True|True|True|25971|16|15|1 oo lw|1 oo lw
ALONG|True|True|True|True|1993|16|16|0 @ - 1 l o ng|0 @ - 1 l o ng
WITH|True|True|True|True|46126|16|17|1 w i dh|1 w i dh
A|True|True|True|True|124956|16|18|1 ei|1 ei
RARE|True|True|True|True|265|16|19|1 r eir|1 r eir
POWER|True|True|True|True|1975|16|20|1 p ow @|1 p ow @
THAT|True|True|True|True|73150|16|21|1 dh a t|1 dh a t
LET|True|True|True|True|3975|16|22|1 l e t|1 l e t
HER|True|True|True|True|40755|16|23|1 h @@r|1 h @@r
HER|True|True|True|True|40755|16|25|1 h @@r|1 h @@r
LIFE|True|True|True|True|5424|16|26|1 l ai f|1 l ai f
EVERY|True|True|True|True|5132|16|27|1 e v - 0 r iy|1 e v - 0 r iy
TIME|True|True|True|True|10084|16|28|1 t ai m|1 t ai m
SHE|True|True|True|True|36842|16|29|1 sh ii|1 sh ii
DIED|True|True|True|True|848|16|30|1 d ai d|1 d ai d
THE|True|True|True|True|345973|17|1|0 dh @|0 dh @
GUYS|True|True|True|True|3|17|2|1 g ai z|1 g ai z
TRY|True|True|True|True|1017|17|3|1 t r ai|1 t r ai
TO|True|True|True|True|154614|17|4|0 t uu|0 t uu
THE|True|True|True|True|345973|17|6|0 dh @|0 dh @
BATHROOM|True|True|True|True|15|17|7|1 b aa th - 3 r uu m|1 b aa th - 3 r uu m
AFTER|True|True|True|True|7499|17|8|1 aa f - 0 t @|1 aa f - 0 t @
MO|True|True|True|True|8|17|9|1 m ou|1 m ou
GIVES|True|True|True|True|390|17|10|1 g i v z|1 g i v z
THEM|True|True|True|True|16964|17|11|1 dh e m|1 dh e m
A|True|True|True|True|124956|17|12|1 ei|1 ei
FLOOR|True|True|True|True|831|17|13|1 f l oo|1 f l oo
PLAN|True|True|True|True|442|17|14|1 p l a n|1 p l a n
DREW|True|True|True|True|897|17|16|1 d r uu|1 d r uu
UP|True|True|True|True|13383|17|17|1 uh p|1 uh p
ON|True|True|True|True|32846|17|18|1 o n|1 o n
WHAT|True|True|True|True|15390|17|19|1 w o t|1 w o t
HER|True|True|True|True|40755|17|20|1 h @@r|1 h @@r
DREAM|True|True|True|True|754|17|21|1 d r ii m|1 d r ii m
BATHROOM|True|True|True|True|15|17|22|1 b aa th - 3 r uu m|1 b aa th - 3 r uu m
WOULD|True|True|True|True|16560|17|23|1 w u d|1 w u d
LOOK|True|True|True|True|3634|17|24|1 l u k|1 l u k
LIKE|True|True|True|True|9418|17|25|1 l ai k|1 l ai k
BUT|True|True|True|True|38402|18|1|1 b uh t|1 b uh t
IN|True|True|True|True|96089|18|2|1 i n|1 i n
THIS|True|True|True|True|25557|18|3|1 dh i s|1 dh i s
CASE|True|True|True|True|1636|18|4|1 k ei s|1 k ei s
WE|True|True|True|True|18466|18|5|1 w ii|1 w ii
GOT|True|True|True|True|3144|18|6|1 g o t|1 g o t
THEIR|True|True|True|True|17242|18|7|1 dh eir|1 dh eir
MODELS|True|True|True|True|42|18|8|1 m o - 0 d l! z|1 m o - 0 d l! z
AND|True|True|True|True|195893|18|9|1 a n d|1 a n d
WE|True|True|True|True|18466|18|10|1 w ii|1 w ii
HAD|True|True|True|True|42625|18|11|1 h a d|1 h a d
TO|True|True|True|True|154614|18|12|0 t uu|0 t uu
THE|True|True|True|True|345973|18|14|0 dh @|0 dh @
TEXTURE|True|True|True|True|48|18|15|1 t e k s - 0 ch @|1 t e k s - 0 ch @
SPACES|True|True|True|True|71|18|16|1 s p ei s - 0 i z|1 s p ei s - 0 i z
BECAUSE|True|True|True|True|3537|18|17|0 b i - 1 k o z|0 b i - 1 k o z
THE|True|True|True|True|345973|18|18|0 dh @|0 dh @
WAY|True|True|True|True|6045|18|19|1 w ei|1 w ei
WE|True|True|True|True|18466|18|20|1 w ii|1 w ii
TEXTURE|True|True|True|True|48|18|21|1 t e k s - 0 ch @|1 t e k s - 0 ch @
MAPS|True|True|True|True|33|18|22|1 m a p s|1 m a p s
IS|True|True|True|True|43616|18|23|1 i z|1 i z
DIFFERENT|True|True|True|True|1425|18|24|1 d i - 0 f r @ n t|1 d i - 0 f r @ n t
GREENWOOD|True|True|True|True|12|19|1|1 g r ii n - 0 w u d|1 g r ii n - 0 w u d
ALLOWED|True|True|True|True|654|19|2|0 @ - 1 l ow d|0 @ - 1 l ow d
A|True|True|True|True|124956|19|3|1 ei|1 ei
OF|True|True|True|True|172137|19|5|1 o v|1 o v
THE|True|True|True|True|345973|19|6|0 dh @|0 dh @
GERMAN|True|True|True|True|302|19|7|1 jh @@r - 0 m @ n|1 jh @@r - 0 m @ n
ARMOUR|True|True|True|True|53|19|8|1 aa - 0 m @|1 aa - 0 m @
COUNTERS|True|True|True|True|7|19|9|1 k ow n t - 0 @ z|1 k ow n t - 0 @ z
WHILE|True|True|True|True|4512|19|10|1 w ai lw|1 w ai lw
ALSO|True|True|True|True|3286|19|11|1 oo lw - 0 s ou|1 oo lw - 0 s ou
INTRODUCING|True|True|True|True|30|19|12|2 i n - 0 t r @ - 1 d y uu s - 0 i ng|2 i n - 0 t r @ - 1 d y uu s - 0 i ng
THE|True|True|True|True|345973|19|13|0 dh ii|0 dh ii
ITALIANS|True|True|True|True|19|19|14|0 i - 1 t a - 0 l iy @ n z|0 i - 1 t a - 0 l iy @ n z
FOLLOWED|True|True|True|True|1188|19|15|1 f o - 0 l ou d|1 f o - 0 l ou d
BY|True|True|True|True|25786|19|16|1 b ai|1 b ai
A|True|True|True|True|124956|19|17|1 ei|1 ei
RUSSIAN|True|True|True|True|109|19|18|1 r uh - 0 sh @ n|1 r uh - 0 sh @ n
FRONT|True|True|True|True|900|19|19|1 f r uh n t|1 f r uh n t
THE|True|True|True|True|345973|19|22|0 dh @|0 dh @
RUSSIANS|True|True|True|True|34|19|23|1 r uh - 0 sh @ n z|1 r uh - 0 sh @ n z
PREDICTIONS|True|True|True|True|9|20|2|0 p r i - 1 d i k - 0 sh n! z|0 p r i - 1 d i k - 0 sh n! z
ON|True|True|True|True|32846|20|3|1 o n|1 o n
FUTURE|True|True|True|True|613|20|4|1 f y uu - 0 ch @|1 f y uu - 0 ch @
WERE|True|True|True|True|22145|20|6|1 w @@r|1 w @@r
ALSO|True|True|True|True|3286|20|7|1 oo lw - 0 s ou|1 oo lw - 0 s ou
INACCURATE|True|True|True|True|7|20|8|0 i n - 1 a - 0 k y uw - 0 r @ t|0 i n - 1 a - 0 k y uw - 0 r @ t
GIVEN|True|True|True|True|1761|20|9|1 g i v - 0 n!|1 g i v - 0 n!
THE|True|True|True|True|345973|20|10|0 dh @|0 dh @
NEED|True|True|True|True|1227|20|11|1 n ii d|1 n ii d
TO|True|True|True|True|154614|20|12|0 t uu|0 t uu
EVERY|True|True|True|True|5132|20|14|1 e v - 0 r iy|1 e v - 0 r iy
COUNTER|True|True|True|True|133|20|15|1 k ow n t - 0 @|1 k ow n t - 0 @
IN|True|True|True|True|96089|20|16|1 i n|1 i n
THE|True|True|True|True|345973|20|17|0 dh @|0 dh @
SYSTEM|True|True|True|True|547|20|18|1 s i - 0 s t @ m|1 s i - 0 s t @ m
FROM|True|True|True|True|23311|20|19|1 f r o m|1 f r o m
SCRATCH|True|True|True|True|50|20|20|1 s k r a ch|1 s k r a ch
THE|True|True|True|True|345973|21|1|0 dh @|0 dh @
PROJECT|True|True|True|True|83|21|2|1 p r o - 0 jh e k t|1 p r o - 0 jh e k t
SURVIVED|True|True|True|True|46|21|3|0 s @ - 1 v ai v d|0 s @ - 1 v ai v d
DESPITE|True|True|True|True|156|21|4|0 d i - 1 s p ai t|0 d i - 1 s p ai t
THE|True|True|True|True|345973|21|5|0 dh @|0 dh @
HOWEVER|True|True|True|True|2763|21|7|2 h ow - 1 e - 0 v @|2 h ow - 1 e - 0 v @
WITH|True|True|True|True|46126|21|8|1 w i dh|1 w i dh
A|True|True|True|True|124956|21|9|1 ei|1 ei
NEW|True|True|True|True|3560|21|10|1 n y uu|1 n y uu
BUSINESS|True|True|True|True|1341|21|11|1 b i z - 0 n i s|1 b i z - 0 n i s
PLAN|True|True|True|True|442|21|12|1 p l a n|1 p l a n
AND|True|True|True|True|195893|21|13|1 a n d|1 a n d
AN|True|True|True|True|16747|21|14|1 a n|1 a n
EXTRA|True|True|True|True|102|21|15|1 e k - 0 s t r @|1 e k - 0 s t r @
ONE|True|True|True|True|22664|21|16|1 w uh n|1 w uh n
MILLION|True|True|True|True|322|21|17|1 m i - 0 l iy @ n|1 m i - 0 l iy @ n
POUNDS|True|True|True|True|388|21|18|1 p ow n d z|1 p ow n d z
OF|True|True|True|True|172137|21|19|1 o v|1 o v
FUNDING|True|True|True|True|12|21|20|1 f uh n d - 0 i ng|1 f uh n d - 0 i ng
FROM|True|True|True|True|23311|21|21|1 f r o m|1 f r o m
THE|True|True|True|True|345973|21|22|0 dh @|0 dh @
HERITAGE|True|True|True|True|29|21|23|1 h e - 0 r i - 0 t i jh|1 h e - 0 r i - 0 t i jh
LOTTERY|True|True|True|True|6|21|24|1 l o - 0 t @ - 0 r iy|1 l o - 0 t @ - 0 r iy
FUND|True|True|True|True|58|21|25|1 f uh n d|1 f uh n d
THIS|True|True|True|True|25557|22|1|1 dh i s|1 dh i s
LED|True|True|True|True|910|22|2|1 l e d|1 l e d
TO|True|True|True|True|154614|22|3|0 t uu|0 t uu
A|True|True|True|True|124956|22|4|1 ei|1 ei
BY|True|True|True|True|25786|22|6|1 b ai|1 b ai
THE|True|True|True|True|345973|22|7|0 dh @|0 dh @
BAND|True|True|True|True|263|22|8|1 b a n d|1 b a n d
AND|True|True|True|True|195893|22|9|1 a n d|1 a n d
THEY|True|True|True|True|28408|22|10|1 dh ei|1 dh ei
BECAME|True|True|True|True|1569|22|11|0 b i - 1 k ei m|0 b i - 1 k ei m
LESS|True|True|True|True|1882|22|12|1 l e s|1 l e s
HEAVY|True|True|True|True|984|22|13|1 h e - 0 v iy|1 h e - 0 v iy
